datetime_utc,date,lat,lon,pm2_5,pm10,co,no,no2,o3,so2,nh3,ow_aqi_1to5,source,city
2022-08-15T00:00:00Z,2022-08-15,24.8607,67.0011,11.81,13.96,303.75,0.0,6.0,53.64,6.2,1.36,2.0,openweather,Karachi
2022-08-15T01:00:00Z,2022-08-15,24.8607,67.0011,10.87,12.61,317.1,0.0,7.2,51.5,7.21,1.57,2.0,openweather,Karachi
2022-08-15T02:00:00Z,2022-08-15,24.8607,67.0011,11.41,13.15,387.19,0.0,12.34,44.7,10.25,2.44,2.0,openweather,Karachi
2022-08-15T03:00:00Z,2022-08-15,24.8607,67.0011,15.14,17.4,607.49,0.06,26.73,29.33,15.26,4.24,2.0,openweather,Karachi
2022-08-15T04:00:00Z,2022-08-15,24.8607,67.0011,21.8,24.9,974.66,1.19,49.35,10.82,21.46,6.4,3.0,openweather,Karachi
2022-08-15T05:00:00Z,2022-08-15,24.8607,67.0011,26.07,29.85,1161.58,3.46,55.52,4.29,23.6,7.6,4.0,openweather,Karachi
2022-08-15T06:00:00Z,2022-08-15,24.8607,67.0011,27.91,32.13,1174.93,5.59,50.04,9.66,25.27,8.04,4.0,openweather,Karachi
2022-08-15T07:00:00Z,2022-08-15,24.8607,67.0011,26.34,30.52,988.01,6.2,37.01,31.11,22.65,6.71,4.0,openweather,Karachi
2022-08-15T08:00:00Z,2022-08-15,24.8607,67.0011,20.9,24.4,694.27,2.49,27.08,41.84,15.26,4.18,3.0,openweather,Karachi
2022-08-15T09:00:00Z,2022-08-15,24.8607,67.0011,16.47,19.53,473.98,1.41,18.16,47.92,8.58,2.25,2.0,openweather,Karachi
2022-08-15T10:00:00Z,2022-08-15,24.8607,67.0011,14.16,17.94,383.85,0.85,12.51,53.64,4.95,1.27,2.0,openweather,Karachi
2022-08-15T11:00:00Z,2022-08-15,24.8607,67.0011,13.18,16.99,383.85,0.68,11.82,55.07,4.23,0.97,2.0,openweather,Karachi
2022-08-15T12:00:00Z,2022-08-15,24.8607,67.0011,12.29,15.41,393.87,0.55,13.37,51.5,3.99,0.78,2.0,openweather,Karachi
2022-08-15T13:00:00Z,2022-08-15,24.8607,67.0011,11.47,14.14,440.6,0.29,17.82,42.2,4.05,0.79,2.0,openweather,Karachi
2022-08-15T14:00:00Z,2022-08-15,24.8607,67.0011,10.75,13.27,473.98,0.05,20.91,35.41,4.47,1.06,2.0,openweather,Karachi
2022-08-15T15:00:00Z,2022-08-15,24.8607,67.0011,10.12,12.81,460.62,0.01,19.88,34.33,5.13,1.52,2.0,openweather,Karachi
2022-08-15T16:00:00Z,2022-08-15,24.8607,67.0011,10.33,13.59,487.33,0.01,21.25,31.47,6.85,2.28,2.0,openweather,Karachi
2022-08-15T17:00:00Z,2022-08-15,24.8607,67.0011,10.84,14.79,500.68,0.01,22.28,29.33,8.58,2.85,2.0,openweather,Karachi
2022-08-15T18:00:00Z,2022-08-15,24.8607,67.0011,11.93,16.82,527.38,0.01,22.96,27.89,9.89,3.26,2.0,openweather,Karachi
2022-08-15T19:00:00Z,2022-08-15,24.8607,67.0011,12.98,18.81,520.71,0.01,21.76,28.97,11.21,2.91,2.0,openweather,Karachi
2022-08-15T20:00:00Z,2022-08-15,24.8607,67.0011,13.82,20.16,467.3,0.0,19.02,30.76,14.42,1.92,2.0,openweather,Karachi
2022-08-15T21:00:00Z,2022-08-15,24.8607,67.0011,15.33,22.12,400.54,0.0,17.82,31.47,21.22,1.23,2.0,openweather,Karachi
2022-08-15T22:00:00Z,2022-08-15,24.8607,67.0011,17.25,24.11,363.83,0.0,19.36,29.68,28.13,0.93,2.0,openweather,Karachi
2022-08-15T23:00:00Z,2022-08-15,24.8607,67.0011,18.98,25.7,363.83,0.0,21.59,27.18,32.42,0.94,2.0,openweather,Karachi
2022-08-16T00:00:00Z,2022-08-16,24.8607,67.0011,18.3,24.28,370.5,0.01,21.76,25.03,33.86,1.36,2.0,openweather,Karachi
