us_aqi,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,temperature_2m,relative_humidity_2m,precipitation,date
63.375,19.079,35.129,11.721,12.35,298.208,51.875,27.683,82.167,0.5,2022-09-03
74.833,28.596,51.929,10.021,9.938,274.042,49.917,27.646,80.042,0.2,2022-09-04
80.042,21.433,41.658,10.888,11.354,258.292,56.042,27.679,77.5,0.5,2022-09-05
71.958,23.642,44.05,16.417,17.488,354.708,64.208,27.429,79.458,0.0,2022-09-06
74.333,23.833,43.088,23.608,23.379,480.625,61.208,27.017,84.583,0.0,2022-09-07
109.042,36.367,60.654,34.729,33.117,766.875,94.792,27.692,84.125,0.0,2022-09-08
141.333,52.879,83.342,31.3,29.929,798.375,122.167,29.683,76.75,0.0,2022-09-09
192.917,84.862,126.833,38.979,36.554,1069.458,165.292,30.883,72.208,0.0,2022-09-10
174.625,41.458,64.475,28.204,30.821,754.0,114.0,29.625,77.667,0.0,2022-09-11
162.833,64.358,98.1,38.192,36.933,973.875,143.625,28.988,83.125,0.1,2022-09-12
167.125,43.875,69.362,40.488,38.254,893.25,101.125,29.908,77.625,0.0,2022-09-13
98.708,23.617,41.071,23.033,22.221,527.958,59.333,29.892,76.917,0.0,2022-09-14
70.292,19.683,36.308,11.508,11.75,293.333,57.792,28.625,82.083,0.0,2022-09-15
72.125,24.533,47.071,8.883,8.6,240.917,65.458,28.325,77.708,0.3,2022-09-16
79.708,28.012,57.275,11.896,10.658,269.417,69.167,28.271,76.208,0.3,2022-09-17
87.542,29.792,60.958,17.054,15.013,346.792,66.583,27.879,79.167,0.0,2022-09-18
83.792,25.425,52.179,16.521,14.596,352.0,64.5,27.496,78.75,0.0,2022-09-19
71.625,19.242,39.475,11.358,10.021,252.5,63.667,27.875,73.208,0.0,2022-09-20
63.25,17.754,37.188,11.438,9.496,242.625,63.125,28.088,72.375,0.0,2022-09-21
62.0,17.592,36.208,10.838,9.283,236.292,61.458,28.15,73.167,0.0,2022-09-22
61.75,17.667,37.242,8.275,7.658,199.125,63.0,27.958,74.458,0.0,2022-09-23
63.917,19.971,38.863,9.25,8.246,214.167,64.917,28.142,73.25,0.3,2022-09-24
68.458,21.933,41.983,11.588,10.15,242.625,63.917,28.033,75.792,0.4,2022-09-25
73.042,22.621,42.167,15.588,14.562,324.833,63.667,27.475,79.417,1.0,2022-09-26
70.583,19.963,37.979,16.771,15.396,349.25,62.083,27.4,77.458,0.1,2022-09-27
62.208,16.296,31.912,13.621,11.883,278.875,61.75,27.65,73.417,0.0,2022-09-28
59.333,15.896,30.463,11.1,10.729,245.542,67.458,27.621,71.5,0.0,2022-09-29
56.958,15.025,26.6,13.358,13.758,290.542,68.125,27.312,74.542,0.0,2022-09-30
54.542,12.792,22.375,9.729,10.904,219.125,56.875,27.758,72.625,0.0,2022-10-01
50.625,12.504,21.946,12.083,12.15,240.958,53.667,28.088,71.667,0.1,2022-10-02
52.417,13.871,27.238,13.992,12.125,263.5,60.333,27.713,73.333,0.3,2022-10-03
54.0,14.025,28.717,12.675,11.225,256.208,59.958,27.829,75.708,0.0,2022-10-04
56.042,16.271,37.038,13.408,12.279,292.125,61.208,27.625,79.708,0.0,2022-10-05
62.958,20.042,45.529,16.696,15.679,360.417,67.125,27.621,78.75,0.0,2022-10-06
93.417,37.3,66.179,27.238,28.425,617.708,97.75,28.129,75.458,0.0,2022-10-07
138.833,49.021,75.212,25.829,26.412,543.208,130.417,30.892,48.958,0.0,2022-10-08
189.458,90.692,135.092,30.254,35.796,907.583,205.25,29.454,55.958,0.0,2022-10-09
183.958,59.012,96.429,44.446,45.3,1030.917,125.458,29.112,65.458,0.0,2022-10-10
157.25,49.083,82.596,49.192,51.146,1067.542,107.042,27.496,67.375,0.0,2022-10-11
141.625,36.571,60.712,40.283,38.112,895.083,102.292,26.183,79.958,0.0,2022-10-12
94.583,24.229,41.854,32.433,27.942,674.917,85.583,26.083,79.75,0.0,2022-10-13
94.167,30.833,50.942,37.254,36.25,760.833,91.042,26.867,71.375,0.0,2022-10-14
118.0,34.054,54.717,36.533,36.433,767.542,106.333,27.012,77.042,0.0,2022-10-15
144.792,49.008,76.371,37.296,37.133,893.042,136.75,27.888,66.792,0.0,2022-10-16
157.417,44.604,69.479,35.558,33.217,761.333,120.333,27.921,57.958,0.0,2022-10-17
106.5,25.546,45.883,26.971,26.075,556.083,84.0,27.25,78.667,0.0,2022-10-18
74.875,22.004,42.788,22.933,20.229,434.625,82.458,26.658,82.958,0.0,2022-10-19
73.958,19.883,40.104,19.662,18.562,393.333,92.333,26.562,82.75,0.0,2022-10-20
123.042,71.883,111.642,35.129,44.675,854.708,134.583,27.154,73.083,0.0,2022-10-21
170.333,80.125,121.512,36.183,32.887,837.583,126.542,28.858,44.5,0.0,2022-10-22
202.542,106.108,157.083,70.908,57.092,1616.667,173.542,27.967,53.417,0.0,2022-10-23
153.292,27.446,45.875,23.9,23.496,540.0,97.333,27.533,70.583,0.0,2022-10-24
72.458,22.867,43.958,12.679,10.846,294.5,98.5,27.658,76.708,0.0,2022-10-25
81.208,28.729,53.117,18.212,15.704,395.667,100.292,27.792,81.458,0.0,2022-10-26
86.125,28.562,52.571,23.342,20.642,472.458,92.375,26.417,84.75,0.0,2022-10-27
88.75,30.646,55.613,26.996,23.75,523.708,84.083,26.121,80.333,0.0,2022-10-28
94.958,32.767,56.4,38.833,31.05,772.042,83.583,26.85,69.833,0.0,2022-10-29
95.458,33.212,58.308,42.017,31.333,814.5,80.958,27.238,68.667,0.0,2022-10-30
93.625,27.504,52.929,30.275,22.925,593.0,71.583,26.688,80.417,0.0,2022-10-31
77.167,23.512,45.212,18.617,13.721,386.667,86.625,26.8,85.375,0.0,2022-11-01
83.458,28.108,48.262,22.963,18.471,496.625,97.583,26.596,84.708,0.0,2022-11-02
