feature,gain
pm2_5_mean,24689395.81551361
aqi_daily,15243079.336807251
doy_cos,5979576.925254822
aqi_roll_mean_3,5346406.577018738
so2_mean,4282543.829086304
nh3_mean,2076734.2312316895
pm10_mean,1910473.2214508057
pm25_roll_mean_3,1794732.4007720947
clouds_mean,1192928.8978919983
wind_v_mean,1035678.409614563
wind_u_mean,928987.221868515
wind_v_mean_roll_mean_3,763876.9440460205
o3_mean,763793.0589447021
no_mean,685292.1262054443
temp_max,684188.357925415
aqi_roll_std_3,660638.3497657776
humidity_mean,656183.2512207031
pressure_mean,655967.9392318726
aqi_change_rate,636074.8791503906
wind_u_mean_roll_std_3,629178.0139541626
aqi_daily_lag6,624281.9087982178
wind_u_mean_lag3,592706.7492485046
pm10_mean_lag5,581368.379901886
wind_speed_mean,570683.1864776611
wind_u_mean_roll_mean_7,567313.6781539917
wind_v_mean_roll_std_7,518582.5686035156
pm25_roll_mean_7,506091.2438659668
aqi_daily_lag4,500746.9033279419
pm10_roll_mean_3,492508.22901153564
co_mean,490109.0079650879
humidity_mean_roll_mean_3,488444.0348815918
aqi_roll_std_30,488227.98017311096
temp_mean_lag1,461064.30417251587
wind_v_mean_roll_mean_7,453812.5803222656
humidity_mean_lag1,449536.65007019043
aqi_roll_mean_7,446393.2399406433
day_of_year,420456.3407821655
pm10_mean_lag7,407416.02935028076
humidity_mean_roll_std_7,406674.38439941406
temp_min,401944.9460258484
aqi_daily_lag3,396954.10315704346
pm25_roll_mean_14,390186.82194519043
pm25_roll_std_3,380945.2056503296
pm2_5_mean_lag4,378105.0704650879
pm10_roll_std_3,372928.6967010498
pm10_roll_std_7,369720.46336364746
wind_u_mean_lag1,367541.36769485474
aqi_daily_lag1,362578.86444854736
humidity_mean_lag3,357893.6406097412
pm10_mean_lag4,344186.9893798828
wind_u_mean_roll_std_7,339421.59729766846
aqi_daily_lag5,326918.8615093231
humidity_mean_lag2,326142.5945892334
pm2_5_mean_lag7,322069.33868408203
humidity_mean_roll_std_3,318709.07779693604
no2_mean,311942.6473083496
pm25_roll_std_14,299463.94116973877
aqi_roll_std_7,296533.3859863281
humidity_mean_roll_mean_7,285953.45387268066
wind_v_mean_roll_std_3,281352.153049469
o3_8h_max_ppb,278492.8720550537
temp_mean_roll_std_3,278256.1734933853
aqi_daily_lag7,272116.71923828125
aqi_roll_std_14,271854.7605705261
wind_v_mean_lag3,267079.6127624512
pm2_5_mean_lag6,255707.49143981934
pm10_roll_mean_7,254715.4821472168
pm10_roll_mean_14,249479.5203857422
aqi_roll_mean_30,240864.74396800995
wind_v_mean_lag1,239331.55126190186
temp_mean_lag2,238917.4620666504
temp_range,238912.44606781006
pm10_mean_lag2,230260.68704223633
doy_sin,223563.8514404297
pm2_5_mean_lag3,220447.9711303711
wind_u_mean_lag2,210455.55485534668
aqi_roll_mean_14,207491.97478103638
pm10_roll_std_30,203423.23875427246
wind_u_mean_roll_mean_3,202180.92288970947
pm10_roll_std_14,199868.10363388062
wind_speed_max,198995.65390014648
week_of_year,194030.24003982544
wind_v_mean_lag2,193989.23888778687
temp_mean_lag3,193660.77600097656
temp_mean,193384.39666748047
dew_point_mean,192076.2215385437
pm2_5_mean_lag5,189789.43557739258
pm10_roll_mean_30,184402.0061187744
temp_mean_roll_std_7,183316.70140838623
pm25_roll_std_7,169202.00183868408
aqi_daily_lag2,158028.73539733887
pm10_mean_lag1,155561.0620651245
temp_mean_roll_mean_7,147139.60667419434
pm25_roll_std_30,137390.83910369873
wind_gust_max,137279.5375366211
day_of_week,125603.56491088867
temp_mean_roll_mean_3,114031.81102752686
pm10_mean_lag3,108706.23240661621
pm25_roll_mean_30,108364.62984848022
pm2_5_mean_lag2,107727.66034698486
pm10_mean_lag6,101130.45977020264
pm2_5_mean_lag1,55694.60817718506
month,27701.46923828125
rain_sum,15842.355751037598
is_weekend,0.0
snow_sum,0.0
visibility_mean,0.0
num_hours,0.0
imputed,0.0
is_complete_day,0.0
