feature,mean_abs_shap
pressure_mean,1.3037431906281336
wind_u_mean,1.1512682066408344
doy_cos,1.1440234495665966
rain_sum,1.1253778011197053
wind_u_mean_lag3,1.0644519635671763
pm2_5_mean_lag5,1.0583666442186936
wind_u_mean_roll_mean_7,1.0417236773136478
wind_u_mean_roll_mean_3,1.0391965985268061
wind_u_mean_lag2,0.9803806172114644
wind_u_mean_lag1,0.8636426718014644
dew_point_mean,0.8049983482003841
clouds_mean,0.7916603790885465
so2_mean,0.7146210541643709
temp_min,0.7140274855652001
temp_mean,0.6969684087115213
temp_mean_lag1,0.6897547494748031
pm2_5_mean_lag6,0.683920007326742
pm2_5_mean_lag4,0.6748328932433744
pm2_5_mean_lag1,0.6606035732840387
aqi_daily_lag1,0.6523916287241878
aqi_daily,0.6361613240281052
temp_mean_roll_mean_3,0.623129411464055
aqi_daily_lag4,0.5929696979836806
pm10_mean_lag5,0.5826663485938043
temp_mean_roll_mean_7,0.5740506783699237
wind_gust_max,0.5670872863838923
aqi_daily_lag2,0.562296503261502
temp_mean_lag2,0.5500060039742038
pm2_5_mean_lag3,0.5430736605241352
wind_v_mean,0.5365001471734767
aqi_roll_mean_3,0.527387961307805
pm10_mean_lag1,0.521158973068706
no2_mean,0.5133759473633315
nh3_mean,0.5106228164704278
aqi_daily_lag6,0.506040099178511
wind_speed_max,0.5052457773981472
aqi_daily_lag3,0.4948417310255194
pm25_roll_mean_14,0.48994361529632074
temp_range,0.4810437904297779
co_mean,0.4796316657709985
temp_mean_lag3,0.47607398055791983
humidity_mean,0.4671283428987441
pm2_5_mean_lag2,0.46593703926620716
temp_max,0.4588515874918711
aqi_roll_mean_14,0.456914035335159
humidity_mean_roll_mean_3,0.4503922830237951
aqi_daily_lag5,0.448849361280519
pm25_roll_mean_7,0.44407089468529254
aqi_roll_mean_7,0.4434123965914163
pm25_roll_mean_30,0.4356708205928287
aqi_roll_mean_30,0.4259894098620046
humidity_mean_lag1,0.3911485168223568
pm10_mean_lag3,0.38296422187807283
pm25_roll_mean_3,0.38072155994977835
humidity_mean_lag2,0.37666003160806577
wind_speed_mean,0.3567100246080144
pm10_mean_lag4,0.3535295255291025
pm10_roll_mean_3,0.35264826279066236
pm10_mean,0.35253147031378446
pm2_5_mean_lag7,0.3475545600295729
pm10_mean_lag2,0.33348646974640667
pm2_5_mean,0.3248884611156381
wind_v_mean_lag1,0.3225141251003217
wind_v_mean_lag3,0.3169810139543588
pm25_roll_std_30,0.3092960202904488
wind_v_mean_roll_mean_3,0.30640701517405766
pm10_mean_lag6,0.3019973068614491
humidity_mean_roll_mean_7,0.29658363332783816
no_mean,0.2951434567486194
aqi_daily_lag7,0.2879135185302774
humidity_mean_lag3,0.28187484172615723
pm25_roll_std_7,0.2758364202870491
wind_v_mean_roll_std_3,0.27451728504547857
pm10_roll_mean_7,0.24585164439806234
humidity_mean_roll_std_7,0.24007666806789196
wind_v_mean_roll_mean_7,0.23958666017992086
wind_v_mean_lag2,0.23773270588343065
doy_sin,0.23426159173763886
humidity_mean_roll_std_3,0.22955507064018493
o3_8h_max_ppb,0.2261903659657797
temp_mean_roll_std_3,0.22189774054080133
pm25_roll_std_14,0.21001062244692964
pm10_roll_mean_30,0.2085505148349653
pm10_roll_mean_14,0.2056581762671557
o3_mean,0.1847852917553241
day_of_year,0.1405249194739874
wind_v_mean_roll_std_7,0.14023102652028713
pm10_roll_std_7,0.13814098778923217
month,0.1311912620866836
temp_mean_roll_std_7,0.12451509643586649
aqi_roll_std_7,0.11962786423480186
pm10_roll_std_30,0.1124935976942928
week_of_year,0.1087147141139162
pm10_roll_std_3,0.10747730351401626
aqi_roll_std_30,0.08844790761911939
pm10_mean_lag7,0.060510644639327836
pm10_roll_std_14,0.05377365719972369
aqi_roll_std_14,0.0483229350130063
aqi_change_rate,0.0366880610616864
wind_u_mean_roll_std_3,0.017059341703307744
num_hours,0.0011830643287519843
imputed,8.669438290986584e-05
is_complete_day,8.669437535317733e-05
snow_sum,0.0
day_of_week,0.0
is_weekend,0.0
aqi_roll_std_3,0.0
pm25_roll_std_3,0.0
wind_u_mean_roll_std_7,0.0
