feature,mean_abs_shap
doy_cos,4.833475156318033
aqi_daily,4.6575402956057435
pm2_5_mean,3.9681142059331735
nh3_mean,3.8817846219399903
so2_mean,3.5550848567544264
aqi_roll_mean_7,3.2364134517628234
aqi_roll_mean_3,3.009111861423538
pm25_roll_mean_7,2.770822992889204
pm25_roll_mean_3,2.530133047696408
pm25_roll_mean_14,2.150997691531395
pm10_mean,1.9996237835296922
aqi_roll_mean_14,1.7719373112285723
no_mean,1.645100562445028
pressure_mean,1.444128642547148
wind_v_mean,1.430278988855804
wind_u_mean_roll_mean_7,1.2587316736701444
aqi_daily_lag1,1.0612797892181391
no2_mean,0.9570793133299355
pm25_roll_std_14,0.95419844668094
wind_u_mean,0.8886282198185097
temp_min,0.8819953964990377
pm25_roll_std_7,0.8592395975705336
wind_v_mean_roll_mean_3,0.8496623534705443
pm2_5_mean_lag1,0.8105113789826726
pm10_roll_mean_14,0.7257027284142616
aqi_change_rate,0.6649394498302675
pm10_roll_mean_30,0.60252961226208
pm10_roll_mean_3,0.5681803456369259
dew_point_mean,0.5291871817132199
aqi_daily_lag3,0.5219732284277032
temp_mean_lag1,0.4898654751966318
pm10_roll_mean_7,0.4612057610739817
pm25_roll_mean_30,0.4536049825886589
aqi_roll_mean_30,0.4396219521798549
temp_mean_roll_mean_3,0.426585920324993
pm2_5_mean_lag3,0.4226219772840216
day_of_year,0.40920381600622663
clouds_mean,0.359496621469528
co_mean,0.3503699211141774
pm10_mean_lag1,0.34049289228984203
temp_range,0.31696363268459393
week_of_year,0.3052055639353305
wind_v_mean_lag2,0.30192875496753996
wind_v_mean_roll_mean_7,0.29442863441060196
humidity_mean_roll_std_3,0.2818846340035914
wind_speed_mean,0.2642506102520187
pm2_5_mean_lag2,0.2633433389137021
wind_speed_max,0.26082966757283765
temp_mean,0.2550478712770349
pm10_roll_std_3,0.23661667044028986
pm10_roll_std_14,0.2287831553844982
pm2_5_mean_lag6,0.22414992607350648
wind_u_mean_roll_mean_3,0.20871061389300977
aqi_daily_lag4,0.1864542931956247
aqi_roll_std_30,0.18246954222107295
pm2_5_mean_lag4,0.17645826107165277
humidity_mean,0.17039791154655198
temp_mean_lag2,0.16185900700329536
temp_mean_lag3,0.15678488359493217
humidity_mean_roll_std_7,0.1567180103197563
aqi_daily_lag6,0.1554810572041818
pm10_mean_lag5,0.1535068220751337
wind_v_mean_lag3,0.15105466760303352
temp_mean_roll_std_7,0.1489468466716739
humidity_mean_roll_mean_7,0.14576795208069943
pm2_5_mean_lag5,0.14388046574750996
temp_mean_roll_std_3,0.13867260012569996
humidity_mean_roll_mean_3,0.1356893418907892
pm2_5_mean_lag7,0.1343502142005731
pm25_roll_std_3,0.13428518548854243
wind_v_mean_roll_std_7,0.13414388218803502
wind_u_mean_lag3,0.13073772739825074
temp_mean_roll_mean_7,0.1289186538998435
aqi_daily_lag5,0.12729012712957596
doy_sin,0.1271142232932063
wind_v_mean_lag1,0.11695953903631727
temp_max,0.1149576291448046
wind_v_mean_roll_std_3,0.1088879108873652
humidity_mean_lag2,0.10819443329634598
pm10_roll_std_30,0.10418349841185374
aqi_daily_lag7,0.1040623485574904
pm10_mean_lag3,0.10237255170874222
aqi_roll_std_3,0.09914745339364057
aqi_roll_std_14,0.09563664722565463
wind_u_mean_lag1,0.09245523982533599
pm10_roll_std_7,0.09175898745753351
wind_u_mean_lag2,0.0912676038585579
o3_mean,0.09118010130652907
aqi_roll_std_7,0.08843809647189066
month,0.08574302753962093
wind_u_mean_roll_std_3,0.08569744972735012
aqi_daily_lag2,0.07951413336021364
o3_8h_max_ppb,0.07565473425281434
pm10_mean_lag7,0.07413870316468985
pm10_mean_lag6,0.0697893854768768
day_of_week,0.06822187596625033
pm10_mean_lag4,0.06697536989264818
humidity_mean_lag1,0.06671564884206146
pm25_roll_std_30,0.06509581916028935
wind_u_mean_roll_std_7,0.057496095721817644
pm10_mean_lag2,0.056531737342829014
humidity_mean_lag3,0.04666389829722753
wind_gust_max,0.04528309110405713
is_weekend,0.03511623803664783
rain_sum,0.03275578156672894
num_hours,0.008939398189460688
visibility_mean,0.0
snow_sum,0.0
imputed,0.0
is_complete_day,0.0
