feature,mean_abs_shap
aqi_daily,18.72348107792093
pm2_5_mean,9.191926746764516
doy_cos,5.517486107357869
pm25_roll_mean_3,3.5676944901381797
pm10_mean,2.037949480506925
nh3_mean,1.1710994112633817
aqi_roll_mean_3,1.1676332911379332
clouds_mean,1.1286988322216476
wind_u_mean_lag3,1.0749967230210604
no_mean,0.992375359558496
wind_u_mean,0.938857516201322
humidity_mean,0.8408986918561072
wind_u_mean_roll_mean_7,0.7905190119170701
pm10_mean_lag5,0.7492944746092954
temp_mean_lag1,0.6789528912984921
wind_v_mean_roll_mean_3,0.6422771812998355
aqi_change_rate,0.6376303747017944
wind_v_mean,0.5521628378880483
wind_speed_mean,0.530075037938492
temp_range,0.500048365380824
so2_mean,0.4781614394394568
temp_max,0.46924179248664
pressure_mean,0.3851273263494374
pm25_roll_mean_7,0.3665580451173194
o3_mean,0.327179817441189
wind_u_mean_roll_std_3,0.3268268093947556
aqi_daily_lag4,0.3246494177299138
day_of_year,0.3212114437361758
no2_mean,0.31764796365591313
humidity_mean_lag1,0.3015809880331484
humidity_mean_roll_mean_3,0.27463013809302067
wind_v_mean_lag3,0.2424614218640435
pm25_roll_std_30,0.22849522477463155
wind_u_mean_lag1,0.21405663570070596
humidity_mean_roll_std_3,0.21084107476517058
wind_u_mean_roll_mean_3,0.20706061804413617
pm2_5_mean_lag6,0.19114366502019828
aqi_daily_lag6,0.1870260189467903
pm10_roll_mean_30,0.18577437365327304
humidity_mean_roll_std_7,0.16449083770009088
pm10_roll_std_30,0.15916168874754133
co_mean,0.1573443443109105
aqi_roll_std_7,0.15366601629712362
pm25_roll_std_7,0.14946062148409725
aqi_roll_std_30,0.13823004337154413
pm10_mean_lag1,0.13820620008570453
pm10_roll_mean_14,0.1360990563571545
pm10_roll_mean_3,0.13116523034153388
aqi_roll_std_14,0.13061518995922455
wind_v_mean_lag2,0.1299745791125532
pm25_roll_std_14,0.1271322520848362
wind_v_mean_roll_std_7,0.12609112157146768
pm10_mean_lag2,0.1258613954891107
wind_v_mean_lag1,0.12269260808120906
wind_u_mean_roll_std_7,0.12162847971453787
aqi_daily_lag2,0.12042352163044359
temp_min,0.12018960240111852
aqi_daily_lag3,0.11117762720125815
aqi_roll_std_3,0.11114739394394195
pm10_roll_std_3,0.10819669227284251
pm25_roll_mean_14,0.10070355082346502
pm10_mean_lag4,0.1002483662791554
aqi_daily_lag5,0.09758025790726287
pm25_roll_std_3,0.09709984021192478
pm10_mean_lag3,0.09479310883199552
week_of_year,0.08995170204606227
humidity_mean_lag3,0.0899092477919846
pm25_roll_mean_30,0.08823231413538188
temp_mean_roll_std_7,0.08679388453066987
wind_v_mean_roll_std_3,0.08524309436781571
temp_mean_roll_mean_7,0.08515744983611308
pm2_5_mean_lag5,0.08074055154792116
dew_point_mean,0.07757133595023663
humidity_mean_roll_mean_7,0.07315750763043903
temp_mean,0.06519338496532319
pm2_5_mean_lag7,0.06397864972556148
pm10_roll_std_14,0.06355016112995392
temp_mean_lag3,0.05720466369682597
humidity_mean_lag2,0.056452530235698954
wind_v_mean_roll_mean_7,0.05538051011510831
pm2_5_mean_lag3,0.053028947878194906
temp_mean_lag2,0.05163985082050485
doy_sin,0.051038906025885546
aqi_roll_mean_30,0.047288089246097925
pm10_roll_mean_7,0.0464161654954583
pm10_mean_lag6,0.045760509554514224
wind_u_mean_lag2,0.044936025629604276
pm10_mean_lag7,0.044473992630001284
pm2_5_mean_lag4,0.042766885644338684
temp_mean_roll_mean_3,0.041139699667930324
wind_gust_max,0.03734285691625339
aqi_roll_mean_7,0.03647367662042857
aqi_daily_lag1,0.03199551312415713
o3_8h_max_ppb,0.031209175552642368
pm2_5_mean_lag2,0.030891752863571056
pm10_roll_std_7,0.025534141624706762
temp_mean_roll_std_3,0.02551175000293637
wind_speed_max,0.025167321448000744
day_of_week,0.02106949369302143
rain_sum,0.017974223761359483
aqi_roll_mean_14,0.016804801904226604
aqi_daily_lag7,0.006407168322345438
pm2_5_mean_lag1,0.0
month,0.0
is_weekend,0.0
is_complete_day,0.0
visibility_mean,0.0
snow_sum,0.0
imputed,0.0
num_hours,0.0
