feature,gain
PM2.5,5058005.578427196
log_PM2.5,238495.25510406494
SO2,126729.23208427429
O3,74692.47360165417
AQI,49378.95578670502
PM10,35778.7400065586
NO2,27192.438514709473
Temperature,24543.787328600883
AQI_lag_2,23532.327047348022
AQI_lag_1,19226.745848178864
CO,17185.68606352806
AQI_diff,13936.946226716042
AQI_roll_std_3,13128.986114501953
month,10973.602823257446
Humidity,10039.538209915161
AQI_roll_mean_3,8650.932463645935
log_CO,3025.260998725891
weekday_3,1558.6573104858398
weekday_4,1049.68994140625
weekday_2,526.7169799804688
season_Spring,501.05999755859375
season_Summer,119.92400360107422
weekday_5,89.81169891357422
weekday_1,0.0
season_Winter,0.0
Precipitation,0.0
weekday_6,0.0
