feature,mean_abs_shap
PM2.5,11.431071361734427
SO2,1.7790933693269106
O3,1.0272468548361984
AQI,0.7993152263189582
PM10,0.748444026729927
log_PM2.5,0.6725895419073925
NO2,0.41195846002727243
CO,0.3616068777707863
Temperature,0.32571978795710527
AQI_roll_std_3,0.23158744449805105
month,0.21047616825087923
AQI_lag_1,0.20527658343003516
AQI_diff,0.17278499454137292
AQI_lag_2,0.16449074830013377
Humidity,0.16302881187071502
log_CO,0.09434426739715202
AQI_roll_mean_3,0.06450765323345647
season_Spring,0.05020064667532595
weekday_4,0.028070637091419007
season_Summer,0.021024701200419306
weekday_2,0.014982992382086653
weekday_5,0.01396819282549045
weekday_3,0.012295154116790455
Precipitation,0.0
season_Winter,0.0
weekday_1,0.0
weekday_6,0.0
