feature,mean_abs_shap
PM2.5,4.519249477450397
log_PM2.5,3.1457412941894183
O3,1.8186368696648145
PM10,1.1226030664317028
SO2,1.0747731267594853
season_Spring,0.5698438998989472
Humidity,0.2211746410631322
AQI_roll_std_3,0.16523750781607616
AQI_roll_mean_3,0.12690669909112892
Temperature,0.10588301108666148
AQI,0.0
season_Winter,0.0
weekday_3,0.0
weekday_1,0.0
weekday_2,0.0
weekday_4,0.0
weekday_5,0.0
season_Summer,0.0
AQI_lag_1,0.0
AQI_diff,0.0
AQI_lag_2,0.0
log_CO,0.0
month,0.0
Precipitation,0.0
CO,0.0
NO2,0.0
weekday_6,0.0
