feature,mean_abs_shap
Temperature,2.783528491187841
SO2,2.2053274681531785
log_CO,1.8230039774186906
PM2.5,1.7552427859376887
CO,1.6998492896724915
log_PM2.5,1.4187749977883806
AQI_roll_mean_3,1.341936987040627
NO2,1.0131221365130638
month,0.9351561669853561
AQI,0.8369931827176712
season_Spring,0.6483518747665108
AQI_lag_2,0.5415832810031451
AQI_lag_1,0.4711115413774659
O3,0.43768053413030805
PM10,0.406712097798834
Humidity,0.260411541847683
season_Winter,0.2302449350508742
AQI_diff,0.22010824661358178
AQI_roll_std_3,0.20049269755744617
weekday_4,0.08324472124333498
season_Summer,0.08111544976622846
weekday_3,0.06600364276353274
weekday_5,0.026852804587294072
weekday_6,0.016652071873262366
weekday_1,0.010212293164282526
weekday_2,0.005399616403318974
Precipitation,0.0
