feature,mean_abs_shap
PM2.5,5.369132963270066
SO2,2.9925634744692364
CO,2.234250528519921
Temperature,1.9332046929581042
AQI_roll_mean_3,1.3365484494033433
PM10,0.7743306852890364
AQI_lag_2,0.5480319834887376
O3,0.4983446940413357
AQI,0.4696059764602586
season_Spring,0.41680052931455286
month,0.40188412606540075
AQI_diff,0.34117173077657725
NO2,0.23351568756277022
Humidity,0.22038876610423916
weekday_4,0.0
weekday_3,0.0
season_Winter,0.0
weekday_5,0.0
weekday_2,0.0
weekday_1,0.0
AQI_lag_1,0.0
season_Summer,0.0
AQI_roll_std_3,0.0
log_CO,0.0
log_PM2.5,0.0
Precipitation,0.0
weekday_6,0.0
