feature,gain
CO,713248.5549621582
PM2.5,704245.3381958008
SO2,636397.792175293
Temperature,523991.1387023926
AQI_roll_mean_3,385656.7476501465
Humidity,166433.80224609375
AQI,134375.72677612305
month,131302.9603881836
PM10,128220.5902709961
AQI_roll_std_3,95641.92919921875
AQI_lag_1,92854.16286468506
NO2,91509.9341430664
O3,88288.92022705078
AQI_lag_2,84734.8930053711
AQI_diff,68914.39376831055
season_Winter,28174.0888671875
season_Spring,13472.660034179688
weekday_3,7997.35986328125
weekday_4,5350.579833984375
weekday_1,4852.6300048828125
season_Summer,2040.2729797363281
weekday_5,1572.3699951171875
log_PM2.5,0.0
log_CO,0.0
Precipitation,0.0
weekday_2,0.0
weekday_6,0.0
