feature,gain
doy_cos,48393685.81530762
pm25_roll_mean_3,2169425.7980947495
aqi_roll_mean_7,2043987.6801757812
humidity_mean_roll_std_7,1135464.8874969482
pm10_mean_lag7,949140.8884048462
wind_u_mean_roll_mean_7,940823.0282592773
aqi_roll_mean_3,882512.8117675781
pm10_mean_lag3,830594.1882324219
wind_u_mean_lag3,811789.2969970703
so2_mean,732733.5103149414
wind_u_mean_roll_std_7,701556.8876647949
temp_max,646983.970703125
doy_sin,502023.8641052246
day_of_year,473787.91006469727
pm10_mean_lag6,443877.41090393066
wind_v_mean_roll_mean_7,390411.6380004883
pm10_mean_lag2,345558.3426513672
wind_v_mean_roll_std_3,323453.05085754395
aqi_daily_lag2,319973.6611328125
pm25_roll_std_30,308071.6554336548
wind_u_mean_roll_std_3,297710.7861328125
wind_u_mean_lag2,296677.47885894775
temp_mean_roll_std_3,286038.6191101074
pressure_mean,277343.4306640625
wind_v_mean,276698.4961090088
pm10_mean_lag5,257575.66130828857
clouds_mean,248627.8690185547
wind_v_mean_roll_std_7,242807.28164672852
pm10_roll_mean_3,241177.41821289062
temp_mean_lag2,236791.03845214844
humidity_mean_roll_std_3,233128.28814697266
wind_v_mean_lag2,232133.9775390625
wind_v_mean_roll_mean_3,228150.60498046875
pm2_5_mean,221601.9966430664
aqi_roll_std_3,219763.08264160156
temp_min,213936.86236572266
pm10_roll_std_14,212576.35990905762
pm10_roll_std_7,211132.46661376953
pm25_roll_mean_30,210214.49493408203
pm25_roll_std_7,201300.62731933594
humidity_mean_lag2,197593.92190551758
pm10_roll_std_30,195786.36743164062
no2_mean,188086.28442382812
aqi_roll_std_7,186436.97607421875
nh3_mean,183661.55293273926
aqi_daily_lag6,180494.85511779785
aqi_roll_mean_14,179262.22470092773
aqi_daily_lag7,171013.13287353516
aqi_daily_lag3,168486.7578125
wind_u_mean_roll_mean_3,166924.49725341797
wind_speed_max,164715.68676757812
pm10_roll_std_3,160034.23022460938
temp_range,157307.49118041992
aqi_daily,149291.6912841797
pm10_mean_lag4,146485.01977539062
humidity_mean,144108.5114593506
temp_mean_roll_mean_3,139038.70880126953
o3_8h_max_ppb,139008.57191467285
aqi_roll_std_30,135141.93244934082
aqi_roll_mean_30,128582.33848571777
temp_mean_roll_mean_7,125555.79039001465
wind_v_mean_lag3,124761.04125976562
humidity_mean_roll_mean_3,117608.95854949951
aqi_daily_lag4,115700.40771484375
pm10_roll_mean_7,115222.0083694458
o3_mean,109256.37084960938
pm2_5_mean_lag2,106466.75952148438
aqi_daily_lag1,105067.26293945312
pm2_5_mean_lag7,100885.66052246094
pm10_roll_mean_30,98582.27230834961
wind_u_mean_lag1,97298.35290527344
pm25_roll_std_14,95705.68676757812
pm2_5_mean_lag3,91235.85083007812
aqi_roll_std_14,89788.9189453125
wind_speed_mean,83487.10333251953
pm25_roll_std_3,78174.541015625
temp_mean_roll_std_7,75963.94958496094
humidity_mean_roll_mean_7,75438.35559082031
pm10_roll_mean_14,74101.4013595581
aqi_change_rate,71453.7109375
pm10_mean,61540.74279785156
aqi_daily_lag5,61088.3994140625
dew_point_mean,57207.4231262207
co_mean,55312.95166015625
pm10_mean_lag1,52436.98986816406
humidity_mean_lag1,51502.38903808594
pm2_5_mean_lag4,50669.6435546875
day_of_week,49201.510498046875
pm25_roll_mean_7,48849.73376464844
pm2_5_mean_lag5,46843.82080078125
wind_v_mean_lag1,46031.31884765625
temp_mean,41237.692138671875
pm2_5_mean_lag1,41088.9599609375
no_mean,40279.229736328125
wind_u_mean,39180.45733642578
humidity_mean_lag3,35040.39685058594
wind_gust_max,34187.17449951172
pm2_5_mean_lag6,32114.280517578125
pm25_roll_mean_14,26307.855712890625
week_of_year,18894.97021484375
temp_mean_lag1,16699.97637939453
temp_mean_lag3,11188.98872756958
month,1592.1099853515625
is_weekend,0.0
imputed,0.0
snow_sum,0.0
rain_sum,0.0
is_complete_day,0.0
num_hours,0.0
visibility_mean,0.0
