feature,importance
doy_cos,0.08411689038507353
pm25_roll_mean_3,0.0488587521138251
pm25_roll_mean_14,0.047579194559171506
aqi_roll_mean_7,0.04620862356388651
aqi_roll_mean_3,0.04611713326247215
pm2_5_mean,0.04443281090772917
aqi_daily,0.04104955048102622
pm25_roll_mean_7,0.040718434503851944
aqi_roll_mean_14,0.03968505737751814
pressure_mean,0.03265457512427916
wind_u_mean_roll_mean_7,0.02641827434111794
nh3_mean,0.025360155007414942
aqi_roll_mean_30,0.024955655457837542
pm10_roll_mean_30,0.024085868100860195
pm10_roll_mean_14,0.022889961849362817
so2_mean,0.01931744218180679
temp_min,0.018527646653188765
pm2_5_mean_lag2,0.01645527621674218
pm25_roll_mean_30,0.01602814515859207
dew_point_mean,0.014583705574457649
pm25_roll_std_14,0.014449557692764837
pm2_5_mean_lag1,0.0137034250280573
aqi_daily_lag1,0.012978439422155688
wind_v_mean_roll_mean_3,0.012149049304378675
wind_v_mean_roll_mean_7,0.011753483641328097
temp_mean,0.011004585593641932
pm25_roll_std_7,0.010864352154878801
temp_mean_roll_mean_3,0.009691907789753155
co_mean,0.00857174070188059
wind_v_mean,0.008316312897682327
aqi_daily_lag2,0.008148919249672416
temp_mean_roll_mean_7,0.007875147304433328
doy_sin,0.006929373156413425
temp_mean_lag2,0.006845232490621368
temp_mean_lag1,0.006586282398627603
day_of_year,0.0058493536831417
pm25_roll_std_30,0.005612533569905912
temp_max,0.005098970656752618
week_of_year,0.004476745890833658
pm10_roll_mean_3,0.004297684198248668
pm25_roll_std_3,0.00414608733845726
temp_mean_lag3,0.004110534982148566
pm10_mean,0.00403636405002996
wind_v_mean_lag1,0.003999629799778999
wind_u_mean_roll_mean_3,0.0035580960006143737
pm2_5_mean_lag3,0.0035472329765476574
wind_v_mean_lag2,0.0034954087304912475
aqi_roll_std_30,0.0034513437990774235
no2_mean,0.003286103312244062
aqi_daily_lag3,0.00320967014711223
aqi_roll_std_14,0.0032015272165730364
wind_u_mean_lag3,0.0031493821888114453
pm2_5_mean_lag4,0.003026648953536381
wind_u_mean_lag2,0.003003549228955992
aqi_roll_std_3,0.002953879353164937
aqi_roll_std_7,0.002924626138645256
pm10_roll_mean_7,0.0029191692712283107
wind_u_mean,0.002774405533547059
pm10_roll_std_14,0.0026974021013740387
humidity_mean_roll_mean_3,0.0026925644704228384
month,0.0025886667899903087
pm10_mean_lag4,0.002559083188566705
wind_u_mean_lag1,0.002553753443340415
wind_v_mean_lag3,0.0025532671810335134
pm10_roll_std_30,0.0025322906832585647
aqi_daily_lag5,0.00252106913567894
temp_mean_roll_std_3,0.0024894982664227564
pm2_5_mean_lag5,0.0023108562143865307
pm2_5_mean_lag6,0.0022728945056311144
pm10_mean_lag3,0.0021699166378997027
pm10_mean_lag5,0.002109461492042202
humidity_mean_lag3,0.002092833548641591
temp_range,0.0020632020203677887
pm10_mean_lag6,0.002045470527615747
humidity_mean_roll_std_7,0.0020271892036574386
aqi_daily_lag4,0.0019606537925533447
pm10_roll_std_7,0.0019585095467983646
aqi_daily_lag7,0.001949300029232241
clouds_mean,0.0019404006778829441
pm10_mean_lag7,0.001909301066879167
pm10_roll_std_3,0.0018394381519264457
aqi_change_rate,0.0018387528969211581
wind_v_mean_roll_std_7,0.0018285848278498055
humidity_mean_roll_mean_7,0.0018130395959910543
wind_speed_mean,0.0018120178739389856
pm2_5_mean_lag7,0.0017811129818921937
wind_gust_max,0.001753403884173243
o3_8h_max_ppb,0.001672945482678041
wind_v_mean_roll_std_3,0.001622532449647233
humidity_mean_lag1,0.0016168080801358979
humidity_mean,0.0015438746478690349
wind_u_mean_roll_std_7,0.0014425254203080085
aqi_daily_lag6,0.0013860206836577382
wind_speed_max,0.0013191272761102718
wind_u_mean_roll_std_3,0.001298514217862799
humidity_mean_lag2,0.0012765986330458533
o3_mean,0.001261220901568534
temp_mean_roll_std_7,0.0012405993505532017
no_mean,0.001231090516891514
pm10_mean_lag1,0.0012196315811341166
pm10_mean_lag2,0.001207624284539673
humidity_mean_roll_std_3,0.0010683569771302612
day_of_week,0.0007453040508641961
is_weekend,0.00010657051095100022
rain_sum,3.681153233290443e-05
visibility_mean,0.0
num_hours,0.0
snow_sum,0.0
imputed,0.0
is_complete_day,0.0
